Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CHUY,"Chuy&#39;s Holdings, Inc.",27.94,469243471,n/a,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",12.19,169522112.3,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx
CIFC,CIFC LLC,11.15,263407756.1,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cifc
CMCT,CIM Commercial Trust Corporation,15.46,1355474006,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct
CMPR,Cimpress N.V,99.17,3133079992,n/a,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,74.73,12298753868,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,1.76,14856057.92,n/a,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,113.32,11808792880,n/a,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
CPHR,Cipher Pharmaceuticals Inc.,4.0001,104785247.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphr
CRUS,"Cirrus Logic, Inc.",54.82,3425189726,n/a,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",30.84,1.55E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",20.06,298792897.6,n/a,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CZNC,Citizens & Northern Corp,21.1,254647101.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",11.1,58297177.8,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,17,34001479,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,22.6,110176785.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",82.97,12920660561,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,49.38,740962751,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CIVB,"Civista Bancshares, Inc. ",14.92,119768524.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb
CIVBP,"Civista Bancshares, Inc. ",46.9,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp
CDTI,"Clean Diesel Technologies, Inc.",3.6,14180482.8,n/a,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,Clean Energy Fuels Corp.,4.36,571980007,n/a,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CLNT,"Cleantech Solutions International, Inc.",1.06,5550675.16,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLFD,"Clearfield, Inc.",18.44,259897398.4,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",11.19,100375575.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro
CLSD,"Clearside Biomedical, Inc.",8.65,177718713.4,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsd
CLIR,ClearSign Combustion Corporation,5.78,74890777.96,n/a,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CBLI,"Cleveland BioLabs, Inc.",1.63,17909080.58,n/a,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CSBK,Clifton Bancorp Inc.,15.28,357639829.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,"Clovis Oncology, Inc.",32.45,1249359949,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CMFN,CM Finance Inc,9.21,126001181.1,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/cmfn
CME,CME Group Inc.,109.65,37155463360,n/a,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CCNE,CNB Financial Corporation,20.42,295331642,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CISG,CNinsure Inc.,8.29,299911010.8,36177444,2007,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/cisg
CNV,Cnova N.V.,5.29,2334465605,n/a,2014,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cnv
CWAY,"Coastway Bancorp, Inc.",13.2,58959568.8,n/a,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway
